SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532145,H.S.(I) LTD.,XT,Q,4.75,4.75,4.75,4.75,4.75,5.00,2,330,1567.00,
532149,BNK OF INDIA,A ,Q,69.10,70.10,64.65,65.25,65.25,68.60,4934,816421,54733810.00,
532150,INDRAPRAST  ,B ,Q,58.80,59.10,55.40,56.65,56.75,56.25,489,49443,2844254.00,
532154,SUNSHINE    ,X ,Q,2.90,3.00,2.74,2.74,2.74,2.88,30,21557,60798.00,
532155,GAIL (I) LTD,A ,Q,141.90,141.90,132.45,135.15,135.15,138.35,5117,705766,97361590.00,
532156,VAIBHAVGBL  ,A ,Q,4390.00,4390.00,3802.60,3858.00,3898.00,4124.45,1667,6925,27603934.00,
532159,TRESCON     ,X ,Q,59.00,64.00,56.70,58.20,58.20,58.20,72,113569,6668180.00,
532160,GUJ.STAT.FIN,T ,Q,3.36,3.36,3.36,3.36,3.36,3.30,9,1537,5164.00,
532162,JK PAPER    ,A ,Q,155.00,155.65,142.45,147.50,147.50,153.45,1278,167303,25186033.00,
532163,SAREGAMA (I),A ,Q,1600.90,1610.00,1455.00,1494.70,1495.00,1601.55,1000,6350,9586879.00,
532164,MINOLTA FIN.,Z ,Q,1.15,1.18,1.15,1.18,1.18,1.18,6,1501,1726.00,
532172,ADROITINFO  ,T ,Q,11.35,11.35,11.10,11.35,11.35,11.68,4,9160,101716.00,
532173,CYBERTECH   ,B ,Q,129.05,134.00,123.00,126.75,128.00,130.00,485,23221,2981399.00,
532174,ICICI BANK  ,A ,Q,594.30,601.40,575.50,578.35,578.35,589.25,12679,677178,397456542.00,
532175,CYIENT      ,A ,Q,678.00,700.00,638.00,661.45,661.45,671.25,1850,47788,31390341.00,
532178,ENGINRS.(I) ,A ,Q,77.60,78.50,75.35,76.25,76.25,77.60,810,148616,11449743.00,
532180,DHANALAK.BNK,B ,Q,15.97,16.20,15.02,15.29,15.27,15.97,979,271530,4201325.00,
532181,GUJ.MINERAL ,A ,Q,57.55,57.70,55.00,55.65,55.70,56.60,590,83773,4699581.00,
532183,GAYATRI SUGR,X ,Q,2.13,2.30,2.12,2.12,2.12,2.23,18,5475,11673.00,
532187,INDUSIND BNK,A ,Q,1021.00,1030.40,988.25,1002.70,1002.70,1009.05,11333,313744,316523270.00,
532189,INDIA TOURIS,A ,Q,390.05,415.00,381.00,384.00,384.00,398.60,1561,42051,16580344.00,
532209,J & K BANK  ,A ,Q,27.90,28.00,25.55,26.35,26.35,27.45,1140,399860,10717929.00,
532210,CITY UNION  ,A ,Q,169.40,173.00,160.20,167.25,167.90,169.10,2929,195360,32692289.00,
532212,ARCHIES LTD ,B ,Q,11.50,11.70,10.93,11.24,11.25,11.51,69,19126,215685.00,
532215,AXIS BANK   ,A ,Q,730.00,743.00,707.05,717.90,717.90,727.85,7115,304958,220938764.00,
532216,HB STOCKHOL.,T ,Q,19.70,19.70,19.70,19.70,19.70,20.70,11,343,6757.00,
532217,SIEL FINANCL,XT,Q,3.66,3.66,3.66,3.66,3.66,3.59,12,5886,21542.00,
532218,SOUTH IND.BK,A ,Q,9.05,9.19,8.85,8.88,8.88,9.03,56382,2161218,19386629.00,
