SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1447.00,1465.80,1415.85,1428.45,1428.45,1439.15,1088,8916,12850946.00,
500003,AEGIS LOGIS ,A ,Q,280.00,291.95,280.00,287.50,288.30,281.05,1144,27488,7871684.00,
500008,AMAR RAJA BA,A ,Q,888.00,888.00,859.25,862.35,866.80,864.80,1114,25584,22267506.00,
500009,A.SARABHAI  ,X ,Q,18.50,18.80,17.75,17.90,17.90,18.45,221,94141,1722782.00,
500010,HDFC        ,A ,Q,2545.00,2561.20,2500.30,2516.55,2516.55,2513.85,3448,55118,139483724.00,
500012,ANDHRA PETRO,X ,Q,62.50,64.40,59.35,61.05,61.05,62.45,655,212538,13018632.00,
500013,ANSAL INFRAS,B ,Q,7.14,7.24,6.89,7.02,6.89,6.92,227,70387,493841.00,
500014,UTIQUE      ,X ,Q,2.12,2.12,2.11,2.11,2.11,2.22,8,2992,6338.00,
500016,ARUNAHTEL   ,XT,Q,5.50,5.50,5.50,5.50,5.50,5.46,1,100,550.00,
500020,BOM DYEING  ,A ,Q,77.35,78.80,73.50,75.25,75.25,76.60,2177,453484,34794522.00,
500023,ASIANHOTNR  ,B ,Q,69.00,69.00,68.95,68.95,68.95,70.00,2,83,5724.00,
500027,ATUL LTD.   ,A ,Q,6784.00,6787.00,6588.20,6616.20,6659.00,6788.10,440,1142,7633151.00,
500028,ATV PROJECTS,XT,Q,4.70,5.00,4.65,4.65,4.65,4.88,31,11524,54112.00,
500031,BAJAJ ELECT.,A ,Q,950.00,976.50,930.05,937.40,939.00,949.75,1262,14003,13318381.00,
500032,BAJAJHIND   ,A ,Q,6.90,6.95,6.35,6.42,6.42,6.62,1777,1505228,9940811.00,
500033,FORCE MOTR  ,A ,Q,1265.60,1273.00,1205.55,1213.45,1206.00,1254.60,793,4779,5902552.00,
500034,BAJFINANCE  ,A ,Q,5409.10,5525.00,5306.45,5371.60,5371.60,5358.70,8993,112882,614586164.00,
500038,BALRAM.CHINI,A ,Q,199.00,205.90,198.00,201.45,200.30,196.15,3667,296576,60010002.00,
500039,BANCO PROD. ,B ,Q,154.65,156.60,140.90,145.65,145.40,156.45,2776,94313,14292094.00,
500040,CENTURY TEXT,A ,Q,497.40,497.40,471.75,476.80,476.50,488.00,1375,63680,31119863.00,
500041,BANNARI AMAN,A ,Q,1761.60,1761.60,1690.00,1727.90,1731.60,1737.35,21,79,135913.00,
500042,BASF INDIA  ,A ,Q,2160.00,2220.00,2061.95,2074.10,2074.10,2143.90,989,5027,10757345.00,
500043,BATA INDIA  ,A ,Q,1488.75,1494.40,1451.00,1470.25,1470.25,1479.35,1028,14215,20960748.00,
500048,BEML LTD    ,A ,Q,1390.00,1404.00,1277.00,1306.40,1306.40,1374.85,2248,39531,52939777.00,
500049,BHARAT ELECT,A ,Q,134.10,135.50,128.15,129.85,129.85,133.90,8999,1422497,188868390.00,
500052,BHANSALI ENG,A ,Q,155.10,157.00,140.70,147.15,146.90,155.10,1120,83973,12689115.00,
500055,TATASTLBSL  ,B ,Q,46.40,46.50,44.85,45.25,45.25,45.30,2250,744787,34112594.00,
500058,BIHAR SPONGE,XT,Q,1.86,1.86,1.86,1.86,1.86,1.83,11,2048,3809.00,
500060,BIRLACABLE  ,B ,Q,68.00,69.55,61.90,63.30,63.70,66.25,741,44826,2937421.00,
500067,BLUE STAR   ,A ,Q,885.00,905.00,850.10,861.70,859.40,875.25,632,7072,6212753.00,
500068,DISA INDIA  ,X ,Q,4530.00,4699.00,4350.00,4512.00,4550.00,4538.20,43,217,994547.00,
500069,BNK CAPITAL ,X ,Q,135.35,135.35,130.00,132.90,132.90,135.25,15,9302,1245162.00,
500074,BPL LTD.    ,B ,Q,25.60,27.05,25.25,25.40,25.25,26.55,259,27221,703641.00,
500078,OAL         ,B ,Q,602.00,602.00,547.20,580.85,569.00,578.70,753,8689,4913044.00,
500083,CENTURY EXT ,B ,Q,4.10,4.32,4.10,4.30,4.29,4.15,92,53677,228330.00,
500084,CESC LTD.   ,A ,Q,612.00,618.15,597.60,603.20,604.30,612.00,638,20873,12684536.00,
500085,CHAMBAL FERT,A ,Q,225.70,230.75,213.80,216.75,220.00,226.10,2605,140182,31199980.00,
500086,EXIDE IND.  ,A ,Q,193.35,196.20,186.85,188.35,188.35,192.50,9275,423658,80954621.00,
500087,CIPLA LTD.  ,A ,Q,778.45,778.45,751.00,754.90,754.90,772.85,6121,162711,124147850.00,
500089,DIC INDIA   ,B ,Q,399.00,401.25,390.60,390.95,396.00,399.90,79,2717,1080834.00,
500092,CRISIL LTD  ,A ,Q,1918.05,1918.60,1881.65,1905.45,1901.55,1913.15,238,668,1272730.00,
500093,CGPOWER     ,B ,Q,60.90,61.55,57.30,57.50,57.50,60.30,2698,567877,33038916.00,
500096,DABUR (I)   ,A ,Q,525.60,529.80,519.50,522.05,522.05,527.05,934,30388,15920810.00,
500097,DALMIASUG   ,A ,Q,167.10,169.30,162.00,162.80,162.00,165.65,1804,49907,8198112.00,
500101,ARVIND Ltd  ,A ,Q,73.75,73.75,67.80,68.55,68.55,71.60,2189,120965,8426981.00,
500102,BALARPUR IND,Z ,Q,1.34,1.34,1.26,1.26,1.26,1.32,175,320728,408052.00,
500103,BHEL        ,A ,Q,52.40,53.80,50.60,52.10,52.10,50.10,31901,12449412,652289713.00,
500104,HIND.PETRO  ,A ,Q,235.30,239.90,231.35,233.95,233.95,236.60,3557,260709,61507435.00,
500106,IFCI LTD    ,A ,Q,13.20,13.35,12.86,12.86,12.86,13.53,17082,1910028,24776731.00,
500108,MAHA.TELE   ,B ,Q,20.40,21.45,18.60,18.86,18.86,20.35,7232,1690357,33288514.00,
500109,MRPL        ,A ,Q,41.40,41.90,39.25,40.25,40.35,41.30,1446,253703,10256212.00,
500110,CHENNAI PET.,A ,Q,113.70,113.70,102.55,105.15,105.15,111.50,1345,60645,6457361.00,
500111,REL.CAP.    ,B ,Q,11.70,11.86,11.08,11.08,11.08,11.66,806,408050,4587037.00,
500112,STATE BANK  ,A ,Q,370.90,375.00,361.10,366.60,366.60,368.05,15623,1568523,578962306.00,
500113,STEEL AUTH. ,A ,Q,73.35,75.75,69.50,70.75,70.75,72.25,9677,3287992,239359988.00,
500114,TITAN       ,A ,Q,1489.00,1492.65,1463.10,1467.85,1467.85,1472.65,3775,54857,81050154.00,
500116,IDBI BANK L ,A ,Q,36.30,36.90,34.00,34.90,34.90,35.85,11100,3369555,119633744.00,
500117,DCW LTD.    ,B ,Q,28.70,28.95,24.95,26.15,26.15,28.15,1824,859622,23442247.00,
500119,DHAMPUR SUGA,A ,Q,183.50,190.05,179.50,181.75,182.00,183.50,729,38202,7076313.00,
500120,DIAMINES&CHM,X ,Q,284.00,285.00,265.25,268.25,268.25,279.90,469,12859,3485350.00,
500123,ELANTAS     ,A ,Q,3570.00,3570.00,3255.00,3306.20,3301.00,3471.15,489,3831,12865153.00,
500124,DR.REDDY'S  ,A ,Q,4388.00,4388.00,4200.00,4211.30,4211.30,4356.85,7350,46984,200409871.00,
500125,E.I.D.PAR   ,A ,Q,346.90,350.80,336.95,341.35,336.95,341.60,349,16870,5785975.00,
500126,PGHL        ,A ,Q,6599.00,6599.00,6400.00,6407.75,6414.20,6495.00,308,6962,44577028.00,
500128,ELEC.CASTING,B ,Q,24.65,25.00,24.00,24.30,24.30,24.65,369,82873,2023369.00,
500133,ESAB INDIA  ,A ,Q,1885.90,1885.90,1800.00,1823.85,1809.20,1858.70,299,665,1220209.00,
500135,EPL         ,A ,Q,227.90,227.90,216.35,217.75,218.50,227.50,535,18997,4196674.00,
500136,ESTER INDUS.,B ,Q,116.90,118.60,111.50,113.60,112.95,114.80,540,28331,3238564.00,
500143,P.H.CAPITAL ,X ,Q,29.25,29.25,29.25,29.25,29.25,27.95,2,20,585.00,
500144,FINOL. CABLE,A ,Q,398.55,402.00,376.40,384.75,386.75,394.85,474,10720,4151691.00,
500147,COCKERILL   ,X ,Q,839.90,839.90,807.80,827.95,807.80,817.05,11,113,93064.00,
500148,UFLEX LTD   ,A ,Q,411.00,419.25,387.45,399.95,397.30,410.80,1392,32796,13096905.00,
500150,FOSECO INDIA,B ,Q,1218.15,1237.95,1172.00,1184.45,1187.75,1203.50,186,1272,1523943.00,
500151,GOLDEN TOB  ,B ,Q,45.50,45.50,43.00,43.00,43.00,44.45,29,559,24502.00,
500153,GANESH BENZO,X ,Q,69.75,69.75,65.60,66.40,66.50,67.30,261,52197,3474679.00,
500159,METROGLOBL  ,X ,Q,62.00,62.00,53.70,56.00,56.05,57.90,13,128,7168.00,
500160,GTL LTD.    ,B ,Q,6.50,6.51,6.15,6.15,6.15,6.34,1264,18157,112696.00,
500163,GODFREY PH  ,A ,Q,889.00,889.65,875.00,884.15,884.15,879.85,906,13367,11798503.00,
500164,GODREJ IND  ,A ,Q,514.40,515.80,498.80,509.50,506.10,506.15,657,18541,9362261.00,
500165,KANSAI NERO ,A ,Q,565.00,565.00,536.00,538.85,540.25,559.25,1591,18129,9881489.00,
500166,GOODRICKE   ,X ,Q,226.90,228.70,218.00,220.55,220.55,226.75,133,7432,1650194.00,
500168,GOODYEAR (I),A ,Q,930.00,937.45,911.30,920.10,922.00,930.40,302,2362,2187333.00,
500170,GTN INDUS   ,B ,Q,11.25,11.30,11.16,11.16,11.16,11.74,16,2036,22753.00,
500171,GHCL LTD    ,A ,Q,236.90,247.00,222.05,228.70,228.90,230.15,664,21856,5148188.00,
500173,GFLLIMITED  ,A ,Q,84.00,100.85,84.00,95.90,97.05,84.05,1992,129204,12629555.00,
500174,GUJ.LEASE   ,B ,Q,2.76,2.83,2.76,2.76,2.76,2.70,8,2564,7218.00,
500179,HCL INFOSYS ,B ,Q,9.50,9.50,8.80,9.02,9.02,9.26,640,300334,2695266.00,
500180,HDFC BANK   ,A ,Q,1508.00,1521.80,1481.15,1490.35,1490.35,1495.65,15262,284777,428112661.00,
500182,HEROMOTOCO  ,A ,Q,3202.80,3217.50,3073.30,3108.30,3108.30,3192.00,5680,50234,157909757.00,
500183,HFCL        ,A ,Q,27.50,27.80,25.90,26.50,26.50,26.75,1933,667051,17819583.00,
500184,HSCL        ,A ,Q,43.50,45.15,41.75,42.55,42.55,43.05,2073,675712,29061769.00,
500185,HIND.CONSTN.,A ,Q,8.25,8.36,7.88,7.92,7.96,8.29,522,430790,3474405.00,
500186,HIND.OIL EXP,A ,Q,106.90,107.30,95.00,99.95,100.00,104.40,1205,140776,14363229.00,
500187,HSIL        ,B ,Q,168.85,168.85,153.45,157.90,158.50,166.45,961,34100,5454910.00,
500188,HINDUS.ZI   ,A ,Q,295.10,298.20,283.25,285.45,289.40,294.95,2082,77676,22310494.00,
500189,NXTDIGITAL  ,B ,Q,480.75,491.75,461.00,470.35,468.00,486.50,141,891,422427.00,
500191,HMT LTD.    ,Z ,Q,35.70,35.70,32.30,32.75,33.20,34.00,104,15105,494700.00,
500192,PRAG BOSIMI ,XT,Q,1.61,1.77,1.61,1.61,1.61,1.69,21,5365,8890.00,
500193,HLVLTD      ,B ,Q,6.50,6.71,6.14,6.41,6.40,6.58,220,215516,1386615.00,
500199,I.G.PETRO   ,B ,Q,459.60,467.35,436.00,444.20,445.05,455.05,447,4946,2206731.00,
500201,IND.GLYCOLS ,A ,Q,461.50,479.85,450.05,451.80,451.80,468.35,936,16904,7823478.00,
500202,IND.LEAS.DEV,X ,Q,11.06,11.06,11.06,11.06,11.06,10.55,1,1,11.00,
500206,MARGO FIN   ,X ,Q,8.95,8.95,8.93,8.93,8.93,8.93,3,1010,9021.00,
500207,INDO RAMA   ,B ,Q,38.35,38.35,36.60,37.20,37.00,38.75,178,22589,852089.00,
500209,INFOSYS LTD ,A ,Q,1392.55,1394.05,1313.50,1336.25,1336.25,1387.20,25057,405813,547078808.00,
500210,INGERSOLL   ,A ,Q,760.00,760.00,697.10,699.70,699.00,715.65,484,3426,2432694.00,
500211,INSILCO LTD.,X ,Q,7.05,7.70,6.94,7.04,7.15,7.34,95,18601,132121.00,
500212,INTEG.FIN.SE,XT,Q,29.45,29.45,29.45,29.45,29.45,31.00,14,226,6655.00,
500213,INTER.TRAVEL,X ,Q,64.85,64.85,60.00,63.60,63.60,62.40,123,11578,725392.00,
500214,ION EXCHANGE,A ,Q,1382.00,1424.00,1311.00,1330.10,1330.10,1382.40,1358,29408,40037164.00,
500215,AGRO TECH FO,A ,Q,822.80,831.50,804.00,812.05,810.00,817.95,167,1053,856455.00,
500219,JAIN IRRIG  ,A ,Q,21.75,22.05,20.15,20.20,20.15,21.20,681,398533,8139164.00,
500220,JASCH INDUST,X ,Q,54.50,59.60,54.50,57.80,58.95,55.65,130,34050,1971536.00,
500223,JCT LTD     ,X ,Q,0.95,0.95,0.91,0.92,0.92,0.94,586,1072450,991503.00,
500227,JINDAL POLYF,A ,Q,786.55,805.30,786.55,786.55,786.55,827.90,325,11524,9094790.00,
500228,JSWSL       ,A ,Q,426.00,432.60,420.15,423.15,423.15,423.00,4770,358017,152589101.00,
500231,UMANG DAIR  ,B ,Q,60.00,63.50,58.15,61.00,60.55,59.00,407,16859,1034880.00,
500233,KAJARIA CER.,A ,Q,977.90,977.90,911.05,949.80,945.90,954.50,1394,16371,15425419.00,
500234,KAKATIYA CEM,B ,Q,180.30,180.30,164.80,170.60,171.95,175.00,93,1767,304074.00,
500235,KALYANI STEL,A ,Q,321.00,321.10,297.50,302.20,301.35,316.00,728,14951,4600767.00,
500238,WHIRLPOOL   ,A ,Q,2366.65,2409.40,2349.00,2374.35,2374.35,2397.70,1009,5507,13071487.00,
500239,KG DENIM    ,X ,Q,29.55,30.90,28.55,29.55,29.55,30.10,71,11936,350709.00,
500240,KINETIC ENG.,XT,Q,44.45,44.45,41.25,42.15,43.30,43.00,83,17965,761543.00,
500241,KIRL.BROS.  ,B ,Q,196.00,204.75,189.40,195.30,195.45,202.00,408,7362,1467409.00,
500243,KIRL INDUS  ,B ,Q,1271.30,1274.00,1221.55,1249.95,1249.65,1255.00,57,353,439817.00,
500245,KIRL.FERROUS,B ,Q,159.80,159.80,152.50,154.50,154.50,158.30,482,15814,2464750.00,
500246,ENVAIN ELECT,XT,Q,34.50,34.50,34.00,34.25,34.00,35.25,6,451,15439.00,
500247,KOTAK MAH.BK,A ,Q,1872.00,1890.35,1825.35,1831.35,1831.35,1867.95,3342,76489,141314258.00,
500249,KSB         ,A ,Q,798.25,803.55,744.90,775.45,785.00,786.25,336,1466,1133346.00,
500250,L.G.BALKRISH,A ,Q,320.00,322.05,295.65,311.65,308.30,316.15,597,115047,35663465.00,
500251,TRENT LTD.  ,A ,Q,825.00,846.70,819.00,823.40,826.50,821.80,764,17945,14890587.00,
500252,LAXMIMACH   ,A ,Q,7316.55,7353.95,7000.00,7058.80,7099.00,7250.55,773,2954,21239617.00,
500253,LIC HOUS.FIN,A ,Q,421.00,426.30,405.45,408.25,409.50,417.35,4786,198291,82180060.00,
500257,LUPIN LTD.  ,A ,Q,1025.00,1027.45,988.00,999.90,999.90,1020.20,2115,58227,58697983.00,
500259,LYKA LABS   ,T ,Q,25.60,25.90,24.90,25.00,25.00,25.95,39,15803,401056.00,
500260,RAMCOCEM    ,A ,Q,982.00,982.00,934.05,945.45,947.90,951.45,1009,18198,17364553.00,
500264,MAFATLAL IND,X ,Q,94.90,94.90,90.15,91.00,91.00,92.80,40,1944,177135.00,
500265,MAH.SEAMLESS,A ,Q,280.05,283.70,277.30,281.50,282.00,277.40,295,5357,1497763.00,
500266,MAH.SCOOTER ,A ,Q,3515.00,3689.00,3486.85,3598.85,3592.00,3578.35,302,950,3402267.00,
500267,MAJESTIC AUT,X ,Q,109.80,115.00,103.55,106.65,106.15,112.45,64,3858,418035.00,
500268,MANALI PETRO,B ,Q,63.60,64.80,60.30,61.60,61.60,62.05,1695,447092,28143141.00,
500271,MFSL        ,A ,Q,870.30,884.85,858.80,862.95,862.95,862.00,1244,27051,23513387.00,
500277,MID INDIA IN,XT,Q,3.35,3.35,3.35,3.35,3.35,3.29,10,5484,18371.00,
500279,MIRC ELECT  ,T ,Q,13.35,13.64,12.87,12.87,12.87,13.54,277,78782,1030346.00,
500280,CENTURY ENKA,B ,Q,279.80,280.25,260.05,263.15,263.15,276.50,454,10105,2709964.00,
500284,LORDS CHLORO,X ,Q,32.65,33.65,31.35,32.75,32.90,32.75,15,1346,43239.00,
500285,SPICEJET LTD,A ,Q,78.00,79.05,74.60,75.30,75.30,78.00,9241,2470130,189370163.00,
500288,MOREPEN LAB.,A ,Q,33.60,34.60,31.25,32.15,32.50,33.45,2175,596452,19618474.00,
500290,MRF LTD.    ,A ,Q,86100.00,86388.60,83049.20,83187.35,83499.95,85541.60,1028,1491,126049706.00,
500292,HEIDEL CEM  ,A ,Q,221.35,225.60,216.10,217.20,217.20,223.95,434,10360,2279404.00,
500294,NCC         ,A ,Q,86.30,87.00,81.30,82.70,82.70,85.40,1134,506535,42946087.00,
500295,VEDL        ,A ,Q,226.00,226.35,221.00,221.85,221.85,224.70,3205,584790,130569414.00,
500296,NAHAR SPG.  ,B ,Q,111.50,115.80,107.20,107.20,107.20,112.80,186,10117,1120991.00,
500298,NAT.PEROXIDE,A ,Q,2205.00,2245.00,2052.25,2097.15,2097.15,2161.65,2436,23540,51104380.00,
500300,GRASIM IND. ,A ,Q,1384.00,1399.45,1371.55,1389.45,1394.00,1369.50,2799,70131,97083995.00,
500302,PEL         ,A ,Q,1809.00,1885.35,1809.00,1838.05,1838.05,1809.70,4927,106612,197796985.00,
500304,NIIT LTD.   ,A ,Q,176.80,176.80,157.55,162.00,161.90,170.50,815,24320,3978791.00,
500306,JAYKAY      ,XT,Q,32.45,32.45,32.45,32.45,32.45,31.85,54,31727,1029541.00,
500307,NIRLON      ,A ,Q,270.35,279.85,270.35,270.50,270.50,275.10,36,1170,319680.00,
500312,ONGC CORPN  ,A ,Q,110.10,112.10,107.55,110.00,110.00,109.40,13767,2268430,249442863.00,
500313,OIL COUNTRY ,B ,Q,5.73,5.73,5.60,5.73,5.73,5.46,40,16278,93260.00,
500314,ORIENT HOTEL,B ,Q,23.50,24.15,23.15,23.15,23.15,23.70,86,13944,329659.00,
500317,OSWAL AGRO. ,B ,Q,12.64,12.64,10.25,10.62,10.69,12.01,573,201050,2299389.00,
500319,INDIAN SUCRO,X ,Q,22.55,23.70,22.55,22.65,22.80,23.00,47,14375,331304.00,
500325,RELIANCE    ,A ,Q,2071.10,2085.00,2001.00,2009.50,2009.50,2055.15,17106,975274,2004908194.00,
500327,PILITA      ,B ,Q,17.00,17.00,15.70,15.76,15.76,16.34,118,43399,705195.00,
500330,RAYMOND     ,A ,Q,356.55,360.70,335.00,341.00,341.00,354.45,1012,36893,12811601.00,
500331,PIDILITE    ,A ,Q,1727.90,1740.10,1702.00,1713.90,1713.90,1723.45,867,8782,15145483.00,
500333,PIX TRANS   ,X ,Q,333.00,333.00,319.00,321.95,321.95,335.20,363,30938,10030973.00,
500335,BIRLA CORPN.,A ,Q,835.60,839.40,780.70,788.60,792.70,824.35,926,10818,8642108.00,
500336,SURYA ROSHNI,A ,Q,379.00,393.00,357.65,360.45,362.55,379.20,2818,60627,23279201.00,
500337,PRIME SECUR.,T ,Q,43.30,45.00,42.35,44.30,45.00,43.25,30,2651,115638.00,
500338,PRSMJOHNSN  ,A ,Q,117.90,118.50,113.25,114.05,114.05,114.70,815,42692,4880471.00,
500339,RAIN        ,A ,Q,146.65,151.00,143.15,146.60,146.60,146.10,2393,279110,41210399.00,
500343,AMJLAND     ,B ,Q,25.05,25.05,24.90,24.90,24.90,24.80,10,115,2865.00,
500346,PUN.COMMUNI.,B ,Q,22.05,22.95,21.10,21.15,21.15,22.05,20,842,18531.00,
500350,RSWM  LTD   ,B ,Q,215.35,222.00,197.00,202.30,202.30,211.55,396,6092,1262317.00,
500354,RAJSH.SUGAR ,T ,Q,19.00,19.00,18.25,18.30,18.30,19.05,15,928,17451.00,
500355,RALLIS INDIA,A ,Q,261.00,263.55,250.65,253.40,254.35,258.00,625,18374,4722813.00,
500356,RAMANEWS    ,B ,Q,15.30,16.75,15.30,15.99,15.80,16.32,60,5890,94694.00,
500357,RAMA PAPER  ,XT,Q,14.46,15.00,14.46,14.98,14.46,14.75,12,2145,31386.00,
500360,RAPICUT CARB,X ,Q,23.80,24.00,22.80,23.90,24.00,24.00,29,6766,156929.00,
500365,WELSPLSOL   ,X ,Q,10.60,12.20,10.50,11.89,11.89,10.36,723,528956,6136541.00,
500366,ROLTA (I)   ,B ,Q,3.95,4.00,3.90,3.95,3.95,3.96,924,128060,506928.00,
500367,RUBFILA INT.,X ,Q,60.50,61.45,58.15,58.40,59.00,60.10,171,19371,1151049.00,
500368,RUCHI SOYA  ,B ,Q,690.25,700.70,662.05,675.10,675.10,690.85,928,5089,3459094.00,
500370,SALORA INT. ,XT,Q,37.90,39.70,36.15,36.15,36.15,38.05,32,2703,100523.00,
500378,JINDAL SAW  ,A ,Q,77.20,77.70,73.10,74.30,74.30,76.30,863,93700,7065425.00,
500380,JK LAKSHMI  ,A ,Q,422.00,425.55,400.55,404.40,404.40,420.80,1606,31692,12988703.00,
500387,SHREE CEMENT,A ,Q,27399.95,27399.95,26447.50,26573.25,26658.75,26817.35,277,709,18971454.00,
500388,SHREE KRISHN,XT,Q,14.43,14.43,14.43,14.43,14.43,13.75,4,23,331.00,
500390,REL INFRA   ,A ,Q,34.20,34.90,31.40,32.35,32.35,33.95,2072,459185,15200489.00,
500400,TATA POWER  ,A ,Q,105.00,106.55,96.00,100.50,100.50,103.40,51172,10610248,1081585560.00,
500402,SPMLINFRA   ,B ,Q,11.94,12.99,11.71,11.82,11.82,11.85,21,5938,70620.00,
500403,SUNDARAM FAS,A ,Q,780.00,824.35,762.00,768.65,764.00,782.50,787,11760,9298561.00,
500404,SUNFLAG IRON,A ,Q,63.25,63.65,59.35,60.30,60.50,61.75,692,77397,4751363.00,
500405,SUPREME PET ,A ,Q,449.00,449.00,413.00,417.40,413.00,429.40,637,8000,3392690.00,
500407,SWARAJ ENGIN,A ,Q,1334.00,1334.00,1303.70,1319.90,1319.90,1330.45,57,318,417664.00,
500408,TATA ELXSI  ,A ,Q,2807.05,2807.05,2648.00,2676.45,2676.45,2756.55,2177,21067,56939418.00,
500410,ACC LTD     ,A ,Q,1743.00,1747.50,1711.55,1732.00,1732.00,1729.00,1613,23364,40521615.00,
500411,THERMAX     ,A ,Q,1380.45,1380.45,1358.35,1368.30,1358.35,1366.00,159,770,1054264.00,
500412,THIRUMALAI  ,A ,Q,98.35,98.95,92.35,93.45,93.45,96.35,1159,127651,12134649.00,
500413,THOMAS COOK ,A ,Q,50.90,51.90,49.25,49.75,49.75,49.45,1333,263717,13457222.00,
500414,TIMEX GROUP ,X ,Q,31.40,31.60,29.10,29.75,29.75,31.45,104,23450,714981.00,
500418,TOKYO PLAST ,B ,Q,70.30,70.30,67.55,69.00,69.00,70.90,26,3462,240092.00,
500420,TORRENT PHAR,A ,Q,2459.80,2459.80,2356.05,2369.25,2369.25,2415.50,1519,10728,25590319.00,
500422,TRANSCHEM   ,X ,Q,16.90,17.50,15.90,16.50,16.50,17.60,55,5719,94434.00,
500425,AMBUJA CEME ,A ,Q,281.75,285.70,277.70,281.05,281.75,280.80,1441,107559,30463554.00,
500426,UTLINDS     ,XT,Q,12.10,13.05,12.10,12.66,12.66,12.48,21,4120,53455.00,
500429,UNIPHOS ENT.,B ,Q,82.40,82.75,81.80,82.50,82.75,82.75,49,3362,276356.00,
500439,VARD HOLDNG ,B ,Q,1830.00,1830.00,1800.00,1800.00,1800.00,1820.30,16,139,250303.00,
500440,HINDALCO    ,A ,Q,330.00,340.25,329.95,331.25,331.25,326.45,7733,955829,320418928.00,
500444,WEST COAS PA,A ,Q,243.10,255.60,232.75,240.00,240.00,243.35,895,32116,7870485.00,
500449,HIND.ORG.CHM,T ,Q,34.90,35.30,34.30,35.10,35.30,33.65,779,192341,6750839.00,
500450,MPIL CORP L ,X ,Q,273.00,273.00,273.00,273.00,273.00,260.00,4,220,60060.00,
500456,PAS.ACRYLON ,X ,Q,15.90,16.00,15.31,15.37,15.31,15.82,139,41544,651264.00,
500458,KORE        ,XT,Q,2.53,2.53,2.29,2.30,2.29,2.41,18,6340,15185.00,
500459,PROCTER &GAM,A ,Q,12885.00,12924.00,12426.50,12636.50,12610.30,12855.95,159,228,2879640.00,
500460,MUKAND LTD. ,B ,Q,60.45,60.45,58.00,58.90,59.00,59.30,247,18736,1095783.00,
500463,AGCNET      ,B ,Q,976.30,1044.00,976.30,1024.45,1024.45,1021.30,70,927,957491.00,
500464,UCAL FUEL   ,B ,Q,143.30,149.40,141.45,142.95,143.80,145.45,1301,36565,5379631.00,
500467,HARR.MALAYAL,B ,Q,159.00,161.90,146.30,149.25,148.35,157.60,1028,38608,5902163.00,
500469,FEDERAL BANK,A ,Q,81.40,82.10,76.75,77.65,78.15,80.15,2755,1328042,105692926.00,
500470,TATA STEEL  ,A ,Q,716.00,723.15,698.15,704.95,704.95,704.40,11376,651500,464474413.00,
500472,SKF INDIA   ,A ,Q,2200.00,2241.00,2131.00,2161.85,2161.85,2208.00,244,985,2153323.00,
500477,ASHOK LEYL. ,A ,Q,119.10,119.75,110.30,113.20,113.20,117.05,13159,3721834,432503551.00,
500480,CUMMINS (I) ,A ,Q,845.00,871.80,845.00,858.55,855.00,838.55,1664,58188,50090986.00,
500483,TATA COMM   ,A ,Q,1162.00,1173.50,1142.65,1166.75,1166.75,1140.75,2557,46989,54341628.00,
500488,ABBOTT (I)  ,A ,Q,14749.00,14749.00,14411.00,14487.75,14551.75,14730.95,210,498,7243802.00,
500490,BAJ HOLD INV,A ,Q,3487.65,3639.95,3433.00,3546.00,3520.00,3471.80,601,2218,7877759.00,
500493,BHARAT FORGE,A ,Q,601.05,605.35,581.80,587.20,587.20,593.25,2456,71725,42597109.00,
500495,ESCORTS LTD.,A ,Q,1330.10,1347.95,1302.00,1318.25,1318.25,1330.10,2630,61565,81424266.00,
500500,HIND.MOTORS ,T ,Q,7.11,7.34,6.68,6.76,6.76,7.02,72,19083,132016.00,
500510,LARSEN & TOU,A ,Q,1452.35,1469.00,1420.00,1428.45,1428.45,1438.25,10614,177421,255858368.00,
500520,MAH & MAH   ,A ,Q,839.95,860.40,834.05,845.35,845.35,836.75,3868,156686,133030014.00,
500530,BOSCH LTD   ,A ,Q,14817.55,14833.25,14170.05,14242.85,14200.00,14660.30,1277,2847,41155884.00,
500540,PREMIER LTD ,T ,Q,2.69,2.69,2.69,2.69,2.69,2.83,13,5889,15841.00,
500547,BHARAT PET. ,A ,Q,435.80,438.35,424.00,426.90,426.90,431.90,6347,358304,154369645.00,
500550,SIEMENS LTD.,A ,Q,1838.95,1845.00,1781.60,1791.10,1790.05,1821.25,1707,19082,34461580.00,
500570,TATA MOTORS ,A ,Q,310.60,316.50,299.75,306.90,306.90,305.85,58868,5997189,1855794620.00,
500575,VOLTAS LTD  ,A ,Q,1023.50,1023.50,969.20,985.55,987.65,1000.70,3774,135741,135370800.00,
500620,GREAT EASTE ,A ,Q,319.80,325.00,310.70,316.15,316.15,318.70,771,20232,6481548.00,
500645,DEEPAK FERT.,A ,Q,244.25,249.40,220.50,231.65,231.65,242.35,6049,308348,72108336.00,
500650,EXCEL INDUST,A ,Q,872.00,877.80,841.50,848.00,855.00,861.90,714,3276,2813599.00,
500655,GARWARE POLY,X ,Q,709.75,709.75,653.00,673.50,674.00,695.80,491,19367,13070472.00,
