[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/admin/decorators.py first seen with mtime 1587582250.2999742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/email/mime/nonmultipart.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1587582249.6679742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/postgres/forms/jsonb.py first seen with mtime 1587582250.719974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/Documents/mine/zerodha_assignment/bhavcopyapp/__init__.py first seen with mtime 1616168110.652249
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1587582250.4359741
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/apps/registry.py first seen with mtime 1587582250.2079742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/requests/__init__.py first seen with mtime 1589005337.0559845
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/gzip.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/local/lib/python3.6/dist-packages/rest_framework/fields.py first seen with mtime 1579004460.1959958
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1587582250.719974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/http/response.py first seen with mtime 1587582250.919974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/filters/output.py first seen with mtime 1587582249.663974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/core/files/temp.py first seen with mtime 1587582250.8559742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/concurrent/futures/process.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/db/migrations/operations/base.py first seen with mtime 1587582250.887974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/certifi/core.py first seen with mtime 1517905624.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/forms/forms.py first seen with mtime 1587582250.903974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/requests/exceptions.py first seen with mtime 1589005337.0639846
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/apscheduler/executors/__init__.py first seen with mtime 1616228300.8459797
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/utils/baseconv.py first seen with mtime 1587582250.9359741
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/local/lib/python3.6/dist-packages/rest_framework/utils/json.py first seen with mtime 1579004460.2479956
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/core/handlers/base.py first seen with mtime 1587582250.8559742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/jinja2/visitor.py first seen with mtime 1575354545.5522065
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1587582249.663974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/yaml/scanner.py first seen with mtime 1472428604.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/email/feedparser.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/ntpath.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/template/defaultfilters.py first seen with mtime 1587582250.923974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/ctypes/_endian.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/template/defaulttags.py first seen with mtime 1587582250.923974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/Documents/mine/zerodha_assignment/bhavcopyapp/models.py first seen with mtime 1616168110.652249
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/core/wsgi.py first seen with mtime 1587582250.851974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/Documents/mine/zerodha_assignment/bhavcopyapp/data_helper.py first seen with mtime 1616526328.2354271
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/jinja2/loaders.py first seen with mtime 1575354545.5482066
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/chardet/langbulgarianmodel.py first seen with mtime 1496932358.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/tokens.py first seen with mtime 1587582249.663974
